,Sentiment,Open,High,Low,Close,Volume,year,month,quarter,weekno,pct_change_1w,pct_change_4w,pct_change_8w
2019-04-12,-0.15962331323396592,5036.79296875,5421.6513671875,4955.8525390625,5089.5390625,111196842593,2019,4,2,15,1.049459129086494,28.494149246062527,40.56351895351047
2019-04-19,0.0643837380976904,5088.85009765625,5336.68017578125,5024.0693359375,5303.8125,84599266604,2019,4,2,16,4.2100755072061125,31.805525169191885,32.41236458148005
2019-04-26,-0.10272308439016341,5304.16064453125,5642.04443359375,5177.36865234375,5279.34814453125,106560856348,2019,4,2,17,-0.4612598101601417,28.815659218933387,36.785428166682536
2019-05-03,0.08134806033164733,5279.47119140625,5865.8818359375,5216.48779296875,5768.28955078125,100590491126,2019,5,2,18,9.261397294976327,14.525604784354007,47.86195787167373
2019-05-10,0.01657244038014185,5769.20263671875,6434.61767578125,5645.46923828125,6378.84912109375,117665318405,2019,5,2,19,10.584759397693656,25.332550605485203,61.04499462890902
2019-05-17,0.22608776044148904,6379.6669921875,8320.82421875,6375.69873046875,7343.8955078125,208927975823,2019,5,2,20,15.128847984936789,38.46446321042647,82.50381290720507
2019-05-24,-0.07548918837592715,7341.66455078125,8261.94140625,7251.50439453125,7987.37158203125,171323065984,2019,5,2,21,8.762053783774771,51.29465538856679,94.89120770179585
2019-05-31,-0.12602467224711464,7991.88525390625,9008.314453125,7924.67041015625,8574.501953125,179196741503,2019,5,2,22,7.350733155004141,48.64895178439301,70.24111103667887
2019-06-07,0.05911569598040071,8573.83984375,8809.3037109375,7564.48876953125,8043.951171875,149745720322,2019,6,2,23,-6.187540502648547,26.103486995405568,58.04871665379816
2019-06-14,0.02105327253979617,8036.77490234375,8710.63671875,7583.2197265625,8693.8330078125,126465007342,2019,6,2,24,8.079137006820192,18.381763446442356,63.916673295153245
2019-06-21,-0.04085099299748738,8689.74609375,10144.556640625,8618.3955078125,10144.556640625,127148388365,2019,6,2,25,16.68681272700825,27.007445896803528,92.15547758738931
2019-06-28,0.023193346329495657,10175.923828125,13796.4892578125,10107.03515625,12407.33203125,215315834423,2019,6,2,26,22.30531575488932,44.700323110056736,115.09551353172913
2019-07-05,0.15373220036224441,12400.763671875,12400.91015625,9737.884765625,10978.4599609375,198130187706,2019,7,3,27,-11.516352320657175,36.480937369719044,72.10722110723128
2019-07-12,0.22448346633759755,10982.5439453125,13129.529296875,10982.5439453125,11815.986328125,177869136295,2019,7,3,28,7.628814698669073,35.91227617906685,60.89534928097835
2019-07-19,-0.23762217150523818,11813.126953125,11841.95703125,9163.134765625,10530.732421875,163548235169,2019,7,3,29,-10.877246050892719,3.806729016658217,31.842275193073633
2019-07-26,-0.09173590563186983,10525.8193359375,11048.662109375,9614.306640625,9870.3037109375,119239928425,2019,7,3,30,-6.271441382041221,-20.447815162216642,15.112268501382076
2019-08-02,0.1741639984742043,9871.1650390625,10657.953125,9252.296875,10518.1748046875,109463705672,2019,8,3,31,6.5638415262954775,-4.192620439367111,30.758809693716383
2019-08-09,-0.03719143233602007,10519.2783203125,12273.8212890625,10503.5048828125,11862.9365234375,139411246671,2019,8,3,32,12.78512426082421,0.3973446990265028,36.45231640379063
2019-08-16,-0.2813394854871594,11861.556640625,11915.6552734375,9675.31640625,10374.3388671875,127346589209,2019,8,3,33,-12.548306680297838,-1.4851156445930713,2.2650790438915047
2019-08-23,-0.09706675709307598,10358.72265625,10947.0419921875,9831.462890625,10407.96484375,110066813842,2019,8,3,34,0.3241264527116483,5.4472602724139785,-16.11440060171074
2019-08-30,-0.5048370281855264,10407.64453125,10512.328125,9421.6298828125,9598.173828125,111051083653,2019,8,3,35,-7.7804933796570275,-8.746773975961064,-12.572675381826793
2019-09-06,-0.13040604437289594,9597.5390625,10898.76171875,9531.7998046875,10353.302734375,110363661621,2019,9,3,36,7.867422696985216,-12.725633202874597,-12.378853132797285
